title,combined_features,id
Avatar,Action Adventure Fantasy Science Fiction culture clash future space war space colony society Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez James Cameron,19995
Pirates of the Caribbean: At World's End,Adventure Fantasy Action ocean drug abuse exotic island east india trading company love of one's life Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat Gore Verbinski,285
Spectre,Action Adventure Crime spy based on novel secret agent sequel mi6 Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci Sam Mendes,206647
The Dark Knight Rises,Action Crime Drama Thriller dc comics crime fighter terrorist secret identity burglar Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy Christopher Nolan,49026
John Carter,Action Adventure Science Fiction based on novel mars medallion space travel princess Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church Andrew Stanton,49529
Spider-Man 3,Fantasy Action Adventure dual identity amnesia sandstorm love of one's life forgiveness Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace Sam Raimi,559
Tangled,Animation Family hostage magic horse fairy tale musical Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey Byron Howard,38757
Avengers: Age of Ultron,Action Adventure Science Fiction marvel comic sequel superhero based on comic book vision Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson Joss Whedon,99861
Harry Potter and the Half-Blood Prince,Adventure Fantasy Family witch magic broom school of witchcraft wizardry Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon David Yates,767
Batman v Superman: Dawn of Justice,Action Adventure Fantasy dc comics vigilante superhero based on comic book revenge Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg Zack Snyder,209112
Superman Returns,Adventure Fantasy Action Science Fiction saving the world dc comics invulnerability sequel superhero Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey Bryan Singer,1452
Quantum of Solace,Adventure Action Thriller Crime killing undercover secret agent british secret service Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini Marc Forster,10764
Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action witch fortune teller bondage exotic island monster Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy Gore Verbinski,58
The Lone Ranger,Action Adventure Western texas horse survivor texas ranger partner Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale Gore Verbinski,57201
Man of Steel,Action Adventure Fantasy Science Fiction saving the world dc comics superhero based on comic book superhuman Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane Zack Snyder,49521
The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy based on novel fictional place brother sister relationship lion human being Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley Andrew Adamson,2454
The Avengers,Science Fiction Action Adventure new york shield marvel comic superhero based on comic book Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson Joss Whedon,24428
Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy sea captain mutiny sword prime minister Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush Rob Marshall,1865
Men in Black 3,Action Comedy Science Fiction time travel time machine alien fictional government agency seeing the future Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson Barry Sonnenfeld,41154
The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy corruption elves dwarves orcs middle-earth (tolkien) Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish Peter Jackson,122917
